연번,호선,고유역번호(외부역코드),역명,위도,경도,작성일자
35,2,226,사당,37.476536,126.981631,1983-11-30
40,2,231,신대방,37.487534,126.913279,1984-03-31
118,4,431,동작,37.503567,126.980171,1985-12-20
-,4,-,총신대입구,37.486873,126.982199,-
120,4,433,사당,37.476563,126.981746,1985-10-18
245,7,2739,남성,37.484688,126.971108,2000-12-11
246,7,2740,숭실대입구,37.496258,126.953649,2000-12-11
247,7,2741,상도,37.50279,126.947949,2000-11-30
248,7,2742,장승배기,37.504845,126.939025,2000-11-30
249,7,2743,신대방삼거리,37.499717,126.928218,2000-11-30
250,7,2744,보라매,37.499916,126.920112,2000-11-30
-,7,-,이수,37.486501,126.981854,-
-,신림,-,서울지방병무청,37.505784,126.922592,-
-,신림,-,보라매공원,37.495632,126.91807,-
-,신림,-,보라매병원,37.492987,126.92378,-
-,9,-,노량진,37.513823,126.944824,-
-,9,-,노들,37.512697,126.953212,-
-,9,-,흑석,37.509044,126.963477,-
-,9,-,구반포,37.501436,126.987426,-
-,9,-,샛강,37.516764,126.92891,-
-,1,-,대방,37.51255,126.926372,-
-,2,-,구로디지털단지,37.484422,126.901432,-
-,신림,-,당곡,37.490251,126.92756,-
-,2,-,낙성대역,37.47712,126.963416,-
