구,인구밀도 (명/㎢),노선수,정류장수,인구밀집도 대비 노선수,인구밀집도 대비 정류장수
강남구,14259,2589, 424 ,0.1816 ,0.0297 
강동구,19580,1329, 302 ,0.0679 ,0.0154 
강북구,12258,921, 195 ,0.0751 ,0.0159 
강서구,13563,1961, 335 ,0.1446 ,0.0247 
관악구,16762,1379, 259 ,0.0823 ,0.0155 
광진구,20433,980, 174 ,0.0480 ,0.0085 
구로구,20472,1328, 254 ,0.0649 ,0.0124 
금천구,18364,912, 168 ,0.0497 ,0.0091 
노원구,14010,1751, 390 ,0.1250 ,0.0278 
도봉구,14819,904, 232 ,0.0610 ,0.0157 
동대문구,25226,1432, 258 ,0.0568 ,0.0102 
동작구,23684,1031, 141 ,0.0435 ,0.0060 
마포구,15626,1571, 252 ,0.1005 ,0.0161 
서대문구,18073,1727, 211 ,0.0956 ,0.0117 
서초구,8795,2629, 325 ,0.2989 ,0.0370 
성동구,16723,685, 187 ,0.0410 ,0.0112 
성북구,17700,1335, 282 ,0.0754 ,0.0159 
송파구,19374,2519, 439 ,0.1300 ,0.0227 
양천구,24953,1430, 257 ,0.0573 ,0.0103 
영등포구,16177,1800, 291 ,0.1113 ,0.0180 
용산구,9932,1022, 231 ,0.1029 ,0.0233 
은평구,15663,1838, 323 ,0.1173 ,0.0206 
종로구,6256,1258, 189 ,0.2011 ,0.0302 
중구,13174,1222, 164 ,0.0928 ,0.0124 
중랑구,20832,1768, 357 ,0.0849 ,0.0171 
